timestamp,location,device_id,sensor_type,value,unit,latitude,longitude
2024-12-13T21:45:53.023727,Bucharest,TEMP001,temperature,15.92,C,44.4268,26.1025
2024-12-13T21:45:53.023727,Bucharest,TEMP002,temperature,15.94,C,44.429,26.104
2024-12-13T21:45:53.023727,Bucharest,TEMP003,temperature,15.77,C,44.4305,26.108
2024-12-13T21:45:53.023727,Bucharest,HUM001,humidity,81.41,%,44.4255,26.1
2024-12-13T21:45:53.023727,Bucharest,HUM002,humidity,82.64,%,44.431,26.105
2024-12-13T21:45:53.023727,Bucharest,HUM003,humidity,81.38,%,44.4325,26.109
2024-12-13T21:45:53.023727,Bucharest,AQI001,air_quality,51.31,AQI,44.428,26.1035
2024-12-13T21:45:53.023727,Bucharest,WIND001,wind_speed,14.17,km/h,44.427,26.1015
2024-12-13T22:45:53.023727,Bucharest,TEMP001,temperature,14.77,C,44.4268,26.1025
2024-12-13T22:45:53.023727,Bucharest,TEMP002,temperature,14.79,C,44.429,26.104
2024-12-13T22:45:53.023727,Bucharest,TEMP003,temperature,14.59,C,44.4305,26.108
2024-12-13T22:45:53.023727,Bucharest,HUM001,humidity,86.29,%,44.4255,26.1
2024-12-13T22:45:53.023727,Bucharest,HUM002,humidity,85.82,%,44.431,26.105
2024-12-13T22:45:53.023727,Bucharest,HUM003,humidity,88.97,%,44.4325,26.109
2024-12-13T22:45:53.023727,Bucharest,AQI001,air_quality,59.12,AQI,44.428,26.1035
2024-12-13T22:45:53.023727,Bucharest,WIND001,wind_speed,14.44,km/h,44.427,26.1015
2024-12-13T23:45:53.023727,Bucharest,TEMP001,temperature,14.53,C,44.4268,26.1025
2024-12-13T23:45:53.023727,Bucharest,TEMP002,temperature,13.86,C,44.429,26.104
2024-12-13T23:45:53.023727,Bucharest,TEMP003,temperature,13.92,C,44.4305,26.108
2024-12-13T23:45:53.023727,Bucharest,HUM001,humidity,82.06,%,44.4255,26.1
2024-12-13T23:45:53.023727,Bucharest,HUM002,humidity,89.98,%,44.431,26.105
2024-12-13T23:45:53.023727,Bucharest,HUM003,humidity,83.25,%,44.4325,26.109
2024-12-13T23:45:53.023727,Bucharest,AQI001,air_quality,50.31,AQI,44.428,26.1035
2024-12-13T23:45:53.023727,Bucharest,WIND001,wind_speed,9.2,km/h,44.427,26.1015
2024-12-14T00:45:53.023727,Bucharest,TEMP001,temperature,14.29,C,44.4268,26.1025
2024-12-14T00:45:53.023727,Bucharest,TEMP002,temperature,14.38,C,44.429,26.104
2024-12-14T00:45:53.023727,Bucharest,TEMP003,temperature,14.21,C,44.4305,26.108
2024-12-14T00:45:53.023727,Bucharest,HUM001,humidity,83.81,%,44.4255,26.1
2024-12-14T00:45:53.023727,Bucharest,HUM002,humidity,88.11,%,44.431,26.105
2024-12-14T00:45:53.023727,Bucharest,HUM003,humidity,84.71,%,44.4325,26.109
2024-12-14T00:45:53.023727,Bucharest,AQI001,air_quality,56.22,AQI,44.428,26.1035
2024-12-14T00:45:53.023727,Bucharest,WIND001,wind_speed,6.15,km/h,44.427,26.1015
2024-12-14T01:45:53.023727,Bucharest,TEMP001,temperature,14.57,C,44.4268,26.1025
2024-12-14T01:45:53.023727,Bucharest,TEMP002,temperature,14.55,C,44.429,26.104
2024-12-14T01:45:53.023727,Bucharest,TEMP003,temperature,14.76,C,44.4305,26.108
2024-12-14T01:45:53.023727,Bucharest,HUM001,humidity,84.99,%,44.4255,26.1
2024-12-14T01:45:53.023727,Bucharest,HUM002,humidity,86.06,%,44.431,26.105
2024-12-14T01:45:53.023727,Bucharest,HUM003,humidity,81.35,%,44.4325,26.109
2024-12-14T01:45:53.023727,Bucharest,AQI001,air_quality,59.04,AQI,44.428,26.1035
2024-12-14T01:45:53.023727,Bucharest,WIND001,wind_speed,8.96,km/h,44.427,26.1015
2024-12-14T02:45:53.023727,Bucharest,TEMP001,temperature,15.2,C,44.4268,26.1025
2024-12-14T02:45:53.023727,Bucharest,TEMP002,temperature,14.7,C,44.429,26.104
2024-12-14T02:45:53.023727,Bucharest,TEMP003,temperature,14.46,C,44.4305,26.108
2024-12-14T02:45:53.023727,Bucharest,HUM001,humidity,85.0,%,44.4255,26.1
2024-12-14T02:45:53.023727,Bucharest,HUM002,humidity,85.56,%,44.431,26.105
2024-12-14T02:45:53.023727,Bucharest,HUM003,humidity,89.53,%,44.4325,26.109
2024-12-14T02:45:53.023727,Bucharest,AQI001,air_quality,51.64,AQI,44.428,26.1035
2024-12-14T02:45:53.023727,Bucharest,WIND001,wind_speed,12.13,km/h,44.427,26.1015
2024-12-14T03:45:53.023727,Bucharest,TEMP001,temperature,15.45,C,44.4268,26.1025
2024-12-14T03:45:53.023727,Bucharest,TEMP002,temperature,15.51,C,44.429,26.104
2024-12-14T03:45:53.023727,Bucharest,TEMP003,temperature,16.11,C,44.4305,26.108
2024-12-14T03:45:53.023727,Bucharest,HUM001,humidity,81.15,%,44.4255,26.1
2024-12-14T03:45:53.023727,Bucharest,HUM002,humidity,85.3,%,44.431,26.105
2024-12-14T03:45:53.023727,Bucharest,HUM003,humidity,83.22,%,44.4325,26.109
2024-12-14T03:45:53.023727,Bucharest,AQI001,air_quality,47.62,AQI,44.428,26.1035
2024-12-14T03:45:53.023727,Bucharest,WIND001,wind_speed,10.39,km/h,44.427,26.1015
2024-12-14T04:45:53.023727,Bucharest,TEMP001,temperature,16.37,C,44.4268,26.1025
2024-12-14T04:45:53.023727,Bucharest,TEMP002,temperature,17.23,C,44.429,26.104
2024-12-14T04:45:53.023727,Bucharest,TEMP003,temperature,16.7,C,44.4305,26.108
2024-12-14T04:45:53.023727,Bucharest,HUM001,humidity,82.11,%,44.4255,26.1
2024-12-14T04:45:53.023727,Bucharest,HUM002,humidity,85.91,%,44.431,26.105
2024-12-14T04:45:53.023727,Bucharest,HUM003,humidity,81.35,%,44.4325,26.109
2024-12-14T04:45:53.023727,Bucharest,AQI001,air_quality,40.79,AQI,44.428,26.1035
2024-12-14T04:45:53.023727,Bucharest,WIND001,wind_speed,5.38,km/h,44.427,26.1015
2024-12-14T05:45:53.023727,Bucharest,TEMP001,temperature,18.46,C,44.4268,26.1025
2024-12-14T05:45:53.023727,Bucharest,TEMP002,temperature,18.37,C,44.429,26.104
2024-12-14T05:45:53.023727,Bucharest,TEMP003,temperature,18.32,C,44.4305,26.108
2024-12-14T05:45:53.023727,Bucharest,HUM001,humidity,84.08,%,44.4255,26.1
2024-12-14T05:45:53.023727,Bucharest,HUM002,humidity,86.08,%,44.431,26.105
2024-12-14T05:45:53.023727,Bucharest,HUM003,humidity,83.11,%,44.4325,26.109
2024-12-14T05:45:53.023727,Bucharest,AQI001,air_quality,59.82,AQI,44.428,26.1035
2024-12-14T05:45:53.023727,Bucharest,WIND001,wind_speed,7.71,km/h,44.427,26.1015
2024-12-14T06:45:53.023727,Bucharest,TEMP001,temperature,18.97,C,44.4268,26.1025
2024-12-14T06:45:53.023727,Bucharest,TEMP002,temperature,19.61,C,44.429,26.104
2024-12-14T06:45:53.023727,Bucharest,TEMP003,temperature,19.5,C,44.4305,26.108
2024-12-14T06:45:53.023727,Bucharest,HUM001,humidity,77.48,%,44.4255,26.1
2024-12-14T06:45:53.023727,Bucharest,HUM002,humidity,82.81,%,44.431,26.105
2024-12-14T06:45:53.023727,Bucharest,HUM003,humidity,85.55,%,44.4325,26.109
2024-12-14T06:45:53.023727,Bucharest,AQI001,air_quality,50.03,AQI,44.428,26.1035
2024-12-14T06:45:53.023727,Bucharest,WIND001,wind_speed,12.07,km/h,44.427,26.1015
2024-12-14T07:45:53.023727,Bucharest,TEMP001,temperature,20.89,C,44.4268,26.1025
2024-12-14T07:45:53.023727,Bucharest,TEMP002,temperature,20.76,C,44.429,26.104
2024-12-14T07:45:53.023727,Bucharest,TEMP003,temperature,21.0,C,44.4305,26.108
2024-12-14T07:45:53.023727,Bucharest,HUM001,humidity,75.64,%,44.4255,26.1
2024-12-14T07:45:53.023727,Bucharest,HUM002,humidity,75.8,%,44.431,26.105
2024-12-14T07:45:53.023727,Bucharest,HUM003,humidity,76.01,%,44.4325,26.109
2024-12-14T07:45:53.023727,Bucharest,AQI001,air_quality,82.3,AQI,44.428,26.1035
2024-12-14T07:45:53.023727,Bucharest,WIND001,wind_speed,14.8,km/h,44.427,26.1015
2024-12-14T08:45:53.023727,Bucharest,TEMP001,temperature,21.74,C,44.4268,26.1025
2024-12-14T08:45:53.023727,Bucharest,TEMP002,temperature,22.23,C,44.429,26.104
2024-12-14T08:45:53.023727,Bucharest,TEMP003,temperature,21.62,C,44.4305,26.108
2024-12-14T08:45:53.023727,Bucharest,HUM001,humidity,77.08,%,44.4255,26.1
2024-12-14T08:45:53.023727,Bucharest,HUM002,humidity,76.51,%,44.431,26.105
2024-12-14T08:45:53.023727,Bucharest,HUM003,humidity,80.6,%,44.4325,26.109
2024-12-14T08:45:53.023727,Bucharest,AQI001,air_quality,83.88,AQI,44.428,26.1035
2024-12-14T08:45:53.023727,Bucharest,WIND001,wind_speed,12.36,km/h,44.427,26.1015
2024-12-14T09:45:53.023727,Bucharest,TEMP001,temperature,23.07,C,44.4268,26.1025
2024-12-14T09:45:53.023727,Bucharest,TEMP002,temperature,22.55,C,44.429,26.104
2024-12-14T09:45:53.023727,Bucharest,TEMP003,temperature,22.62,C,44.4305,26.108
2024-12-14T09:45:53.023727,Bucharest,HUM001,humidity,78.61,%,44.4255,26.1
2024-12-14T09:45:53.023727,Bucharest,HUM002,humidity,73.47,%,44.431,26.105
2024-12-14T09:45:53.023727,Bucharest,HUM003,humidity,72.79,%,44.4325,26.109
2024-12-14T09:45:53.023727,Bucharest,AQI001,air_quality,82.25,AQI,44.428,26.1035
2024-12-14T09:45:53.023727,Bucharest,WIND001,wind_speed,18.69,km/h,44.427,26.1015
2024-12-14T10:45:53.023727,Bucharest,TEMP001,temperature,23.29,C,44.4268,26.1025
2024-12-14T10:45:53.023727,Bucharest,TEMP002,temperature,23.93,C,44.429,26.104
2024-12-14T10:45:53.023727,Bucharest,TEMP003,temperature,23.79,C,44.4305,26.108
2024-12-14T10:45:53.023727,Bucharest,HUM001,humidity,76.05,%,44.4255,26.1
2024-12-14T10:45:53.023727,Bucharest,HUM002,humidity,72.82,%,44.431,26.105
2024-12-14T10:45:53.023727,Bucharest,HUM003,humidity,71.66,%,44.4325,26.109
2024-12-14T10:45:53.023727,Bucharest,AQI001,air_quality,67.7,AQI,44.428,26.1035
2024-12-14T10:45:53.023727,Bucharest,WIND001,wind_speed,11.29,km/h,44.427,26.1015
2024-12-14T11:45:53.023727,Bucharest,TEMP001,temperature,24.31,C,44.4268,26.1025
2024-12-14T11:45:53.023727,Bucharest,TEMP002,temperature,24.56,C,44.429,26.104
2024-12-14T11:45:53.023727,Bucharest,TEMP003,temperature,24.09,C,44.4305,26.108
2024-12-14T11:45:53.023727,Bucharest,HUM001,humidity,79.28,%,44.4255,26.1
2024-12-14T11:45:53.023727,Bucharest,HUM002,humidity,73.16,%,44.431,26.105
2024-12-14T11:45:53.023727,Bucharest,HUM003,humidity,74.49,%,44.4325,26.109
2024-12-14T11:45:53.023727,Bucharest,AQI001,air_quality,55.07,AQI,44.428,26.1035
2024-12-14T11:45:53.023727,Bucharest,WIND001,wind_speed,17.25,km/h,44.427,26.1015
2024-12-14T12:45:53.023727,Bucharest,TEMP001,temperature,24.12,C,44.4268,26.1025
2024-12-14T12:45:53.023727,Bucharest,TEMP002,temperature,24.38,C,44.429,26.104
2024-12-14T12:45:53.023727,Bucharest,TEMP003,temperature,23.93,C,44.4305,26.108
2024-12-14T12:45:53.023727,Bucharest,HUM001,humidity,77.53,%,44.4255,26.1
2024-12-14T12:45:53.023727,Bucharest,HUM002,humidity,78.88,%,44.431,26.105
2024-12-14T12:45:53.023727,Bucharest,HUM003,humidity,77.96,%,44.4325,26.109
2024-12-14T12:45:53.023727,Bucharest,AQI001,air_quality,43.33,AQI,44.428,26.1035
2024-12-14T12:45:53.023727,Bucharest,WIND001,wind_speed,10.33,km/h,44.427,26.1015
2024-12-14T13:45:53.023727,Bucharest,TEMP001,temperature,23.66,C,44.4268,26.1025
2024-12-14T13:45:53.023727,Bucharest,TEMP002,temperature,24.35,C,44.429,26.104
2024-12-14T13:45:53.023727,Bucharest,TEMP003,temperature,23.9,C,44.4305,26.108
2024-12-14T13:45:53.023727,Bucharest,HUM001,humidity,79.51,%,44.4255,26.1
2024-12-14T13:45:53.023727,Bucharest,HUM002,humidity,74.76,%,44.431,26.105
2024-12-14T13:45:53.023727,Bucharest,HUM003,humidity,77.3,%,44.4325,26.109
2024-12-14T13:45:53.023727,Bucharest,AQI001,air_quality,46.63,AQI,44.428,26.1035
2024-12-14T13:45:53.023727,Bucharest,WIND001,wind_speed,11.43,km/h,44.427,26.1015
2024-12-14T14:45:53.023727,Bucharest,TEMP001,temperature,23.65,C,44.4268,26.1025
2024-12-14T14:45:53.023727,Bucharest,TEMP002,temperature,24.04,C,44.429,26.104
2024-12-14T14:45:53.023727,Bucharest,TEMP003,temperature,23.6,C,44.4305,26.108
2024-12-14T14:45:53.023727,Bucharest,HUM001,humidity,73.67,%,44.4255,26.1
2024-12-14T14:45:53.023727,Bucharest,HUM002,humidity,76.9,%,44.431,26.105
2024-12-14T14:45:53.023727,Bucharest,HUM003,humidity,76.38,%,44.4325,26.109
2024-12-14T14:45:53.023727,Bucharest,AQI001,air_quality,50.49,AQI,44.428,26.1035
2024-12-14T14:45:53.023727,Bucharest,WIND001,wind_speed,16.23,km/h,44.427,26.1015
2024-12-14T15:45:53.023727,Bucharest,TEMP001,temperature,22.69,C,44.4268,26.1025
2024-12-14T15:45:53.023727,Bucharest,TEMP002,temperature,23.1,C,44.429,26.104
2024-12-14T15:45:53.023727,Bucharest,TEMP003,temperature,22.56,C,44.4305,26.108
2024-12-14T15:45:53.023727,Bucharest,HUM001,humidity,73.54,%,44.4255,26.1
2024-12-14T15:45:53.023727,Bucharest,HUM002,humidity,77.97,%,44.431,26.105
2024-12-14T15:45:53.023727,Bucharest,HUM003,humidity,74.47,%,44.4325,26.109
2024-12-14T15:45:53.023727,Bucharest,AQI001,air_quality,46.32,AQI,44.428,26.1035
2024-12-14T15:45:53.023727,Bucharest,WIND001,wind_speed,14.57,km/h,44.427,26.1015
2024-12-14T16:45:53.023727,Bucharest,TEMP001,temperature,21.72,C,44.4268,26.1025
2024-12-14T16:45:53.023727,Bucharest,TEMP002,temperature,21.58,C,44.429,26.104
2024-12-14T16:45:53.023727,Bucharest,TEMP003,temperature,22.19,C,44.4305,26.108
2024-12-14T16:45:53.023727,Bucharest,HUM001,humidity,76.63,%,44.4255,26.1
2024-12-14T16:45:53.023727,Bucharest,HUM002,humidity,81.8,%,44.431,26.105
2024-12-14T16:45:53.023727,Bucharest,HUM003,humidity,81.9,%,44.4325,26.109
2024-12-14T16:45:53.023727,Bucharest,AQI001,air_quality,67.83,AQI,44.428,26.1035
2024-12-14T16:45:53.023727,Bucharest,WIND001,wind_speed,19.48,km/h,44.427,26.1015
2024-12-14T17:45:53.023727,Bucharest,TEMP001,temperature,20.49,C,44.4268,26.1025
2024-12-14T17:45:53.023727,Bucharest,TEMP002,temperature,20.95,C,44.429,26.104
2024-12-14T17:45:53.023727,Bucharest,TEMP003,temperature,20.69,C,44.4305,26.108
2024-12-14T17:45:53.023727,Bucharest,HUM001,humidity,74.7,%,44.4255,26.1
2024-12-14T17:45:53.023727,Bucharest,HUM002,humidity,79.29,%,44.431,26.105
2024-12-14T17:45:53.023727,Bucharest,HUM003,humidity,79.27,%,44.4325,26.109
2024-12-14T17:45:53.023727,Bucharest,AQI001,air_quality,65.74,AQI,44.428,26.1035
2024-12-14T17:45:53.023727,Bucharest,WIND001,wind_speed,10.94,km/h,44.427,26.1015
2024-12-14T18:45:53.023727,Bucharest,TEMP001,temperature,19.33,C,44.4268,26.1025
2024-12-14T18:45:53.023727,Bucharest,TEMP002,temperature,19.74,C,44.429,26.104
2024-12-14T18:45:53.023727,Bucharest,TEMP003,temperature,18.89,C,44.4305,26.108
2024-12-14T18:45:53.023727,Bucharest,HUM001,humidity,78.41,%,44.4255,26.1
2024-12-14T18:45:53.023727,Bucharest,HUM002,humidity,83.86,%,44.431,26.105
2024-12-14T18:45:53.023727,Bucharest,HUM003,humidity,82.35,%,44.4325,26.109
2024-12-14T18:45:53.023727,Bucharest,AQI001,air_quality,70.0,AQI,44.428,26.1035
2024-12-14T18:45:53.023727,Bucharest,WIND001,wind_speed,17.66,km/h,44.427,26.1015
2024-12-14T19:45:53.023727,Bucharest,TEMP001,temperature,17.88,C,44.4268,26.1025
2024-12-14T19:45:53.023727,Bucharest,TEMP002,temperature,17.49,C,44.429,26.104
2024-12-14T19:45:53.023727,Bucharest,TEMP003,temperature,17.83,C,44.4305,26.108
2024-12-14T19:45:53.023727,Bucharest,HUM001,humidity,85.4,%,44.4255,26.1
2024-12-14T19:45:53.023727,Bucharest,HUM002,humidity,79.9,%,44.431,26.105
2024-12-14T19:45:53.023727,Bucharest,HUM003,humidity,78.26,%,44.4325,26.109
2024-12-14T19:45:53.023727,Bucharest,AQI001,air_quality,75.93,AQI,44.428,26.1035
2024-12-14T19:45:53.023727,Bucharest,WIND001,wind_speed,11.32,km/h,44.427,26.1015
2024-12-14T20:45:53.023727,Bucharest,TEMP001,temperature,16.93,C,44.4268,26.1025
2024-12-14T20:45:53.023727,Bucharest,TEMP002,temperature,17.2,C,44.429,26.104
2024-12-14T20:45:53.023727,Bucharest,TEMP003,temperature,16.43,C,44.4305,26.108
2024-12-14T20:45:53.023727,Bucharest,HUM001,humidity,79.7,%,44.4255,26.1
2024-12-14T20:45:53.023727,Bucharest,HUM002,humidity,86.27,%,44.431,26.105
2024-12-14T20:45:53.023727,Bucharest,HUM003,humidity,84.81,%,44.4325,26.109
2024-12-14T20:45:53.023727,Bucharest,AQI001,air_quality,59.78,AQI,44.428,26.1035
2024-12-14T20:45:53.023727,Bucharest,WIND001,wind_speed,5.09,km/h,44.427,26.1015
2024-12-14T21:45:53.023727,Bucharest,TEMP001,temperature,15.89,C,44.4268,26.1025
2024-12-14T21:45:53.023727,Bucharest,TEMP002,temperature,15.87,C,44.429,26.104
2024-12-14T21:45:53.023727,Bucharest,TEMP003,temperature,15.58,C,44.4305,26.108
2024-12-14T21:45:53.023727,Bucharest,HUM001,humidity,88.09,%,44.4255,26.1
2024-12-14T21:45:53.023727,Bucharest,HUM002,humidity,86.9,%,44.431,26.105
2024-12-14T21:45:53.023727,Bucharest,HUM003,humidity,82.56,%,44.4325,26.109
2024-12-14T21:45:53.023727,Bucharest,AQI001,air_quality,49.47,AQI,44.428,26.1035
2024-12-14T21:45:53.023727,Bucharest,WIND001,wind_speed,8.08,km/h,44.427,26.1015
2024-12-14T22:45:53.023727,Bucharest,TEMP001,temperature,15.34,C,44.4268,26.1025
2024-12-14T22:45:53.023727,Bucharest,TEMP002,temperature,15.21,C,44.429,26.104
2024-12-14T22:45:53.023727,Bucharest,TEMP003,temperature,15.22,C,44.4305,26.108
2024-12-14T22:45:53.023727,Bucharest,HUM001,humidity,86.3,%,44.4255,26.1
2024-12-14T22:45:53.023727,Bucharest,HUM002,humidity,88.35,%,44.431,26.105
2024-12-14T22:45:53.023727,Bucharest,HUM003,humidity,80.73,%,44.4325,26.109
2024-12-14T22:45:53.023727,Bucharest,AQI001,air_quality,48.73,AQI,44.428,26.1035
2024-12-14T22:45:53.023727,Bucharest,WIND001,wind_speed,8.04,km/h,44.427,26.1015
2024-12-14T23:45:53.023727,Bucharest,TEMP001,temperature,14.15,C,44.4268,26.1025
2024-12-14T23:45:53.023727,Bucharest,TEMP002,temperature,14.82,C,44.429,26.104
2024-12-14T23:45:53.023727,Bucharest,TEMP003,temperature,14.0,C,44.4305,26.108
2024-12-14T23:45:53.023727,Bucharest,HUM001,humidity,85.64,%,44.4255,26.1
2024-12-14T23:45:53.023727,Bucharest,HUM002,humidity,83.78,%,44.431,26.105
2024-12-14T23:45:53.023727,Bucharest,HUM003,humidity,81.6,%,44.4325,26.109
2024-12-14T23:45:53.023727,Bucharest,AQI001,air_quality,49.7,AQI,44.428,26.1035
2024-12-14T23:45:53.023727,Bucharest,WIND001,wind_speed,12.8,km/h,44.427,26.1015
2024-12-15T00:45:53.023727,Bucharest,TEMP001,temperature,13.98,C,44.4268,26.1025
2024-12-15T00:45:53.023727,Bucharest,TEMP002,temperature,14.46,C,44.429,26.104
2024-12-15T00:45:53.023727,Bucharest,TEMP003,temperature,14.32,C,44.4305,26.108
2024-12-15T00:45:53.023727,Bucharest,HUM001,humidity,85.93,%,44.4255,26.1
2024-12-15T00:45:53.023727,Bucharest,HUM002,humidity,80.66,%,44.431,26.105
2024-12-15T00:45:53.023727,Bucharest,HUM003,humidity,81.75,%,44.4325,26.109
2024-12-15T00:45:53.023727,Bucharest,AQI001,air_quality,47.75,AQI,44.428,26.1035
2024-12-15T00:45:53.023727,Bucharest,WIND001,wind_speed,9.28,km/h,44.427,26.1015
2024-12-15T01:45:53.023727,Bucharest,TEMP001,temperature,15.1,C,44.4268,26.1025
2024-12-15T01:45:53.023727,Bucharest,TEMP002,temperature,14.6,C,44.429,26.104
2024-12-15T01:45:53.023727,Bucharest,TEMP003,temperature,15.12,C,44.4305,26.108
2024-12-15T01:45:53.023727,Bucharest,HUM001,humidity,86.96,%,44.4255,26.1
2024-12-15T01:45:53.023727,Bucharest,HUM002,humidity,88.07,%,44.431,26.105
2024-12-15T01:45:53.023727,Bucharest,HUM003,humidity,88.6,%,44.4325,26.109
2024-12-15T01:45:53.023727,Bucharest,AQI001,air_quality,56.63,AQI,44.428,26.1035
2024-12-15T01:45:53.023727,Bucharest,WIND001,wind_speed,14.76,km/h,44.427,26.1015
2024-12-15T02:45:53.023727,Bucharest,TEMP001,temperature,15.29,C,44.4268,26.1025
2024-12-15T02:45:53.023727,Bucharest,TEMP002,temperature,15.44,C,44.429,26.104
2024-12-15T02:45:53.023727,Bucharest,TEMP003,temperature,15.42,C,44.4305,26.108
2024-12-15T02:45:53.023727,Bucharest,HUM001,humidity,80.9,%,44.4255,26.1
2024-12-15T02:45:53.023727,Bucharest,HUM002,humidity,81.01,%,44.431,26.105
2024-12-15T02:45:53.023727,Bucharest,HUM003,humidity,82.91,%,44.4325,26.109
2024-12-15T02:45:53.023727,Bucharest,AQI001,air_quality,59.16,AQI,44.428,26.1035
2024-12-15T02:45:53.023727,Bucharest,WIND001,wind_speed,14.98,km/h,44.427,26.1015
2024-12-15T03:45:53.023727,Bucharest,TEMP001,temperature,15.84,C,44.4268,26.1025
2024-12-15T03:45:53.023727,Bucharest,TEMP002,temperature,15.64,C,44.429,26.104
2024-12-15T03:45:53.023727,Bucharest,TEMP003,temperature,16.01,C,44.4305,26.108
2024-12-15T03:45:53.023727,Bucharest,HUM001,humidity,78.75,%,44.4255,26.1
2024-12-15T03:45:53.023727,Bucharest,HUM002,humidity,85.38,%,44.431,26.105
2024-12-15T03:45:53.023727,Bucharest,HUM003,humidity,85.29,%,44.4325,26.109
2024-12-15T03:45:53.023727,Bucharest,AQI001,air_quality,55.06,AQI,44.428,26.1035
2024-12-15T03:45:53.023727,Bucharest,WIND001,wind_speed,9.52,km/h,44.427,26.1015
2024-12-15T04:45:53.023727,Bucharest,TEMP001,temperature,17.03,C,44.4268,26.1025
2024-12-15T04:45:53.023727,Bucharest,TEMP002,temperature,16.54,C,44.429,26.104
2024-12-15T04:45:53.023727,Bucharest,TEMP003,temperature,16.64,C,44.4305,26.108
2024-12-15T04:45:53.023727,Bucharest,HUM001,humidity,80.85,%,44.4255,26.1
2024-12-15T04:45:53.023727,Bucharest,HUM002,humidity,85.77,%,44.431,26.105
2024-12-15T04:45:53.023727,Bucharest,HUM003,humidity,87.79,%,44.4325,26.109
2024-12-15T04:45:53.023727,Bucharest,AQI001,air_quality,49.04,AQI,44.428,26.1035
2024-12-15T04:45:53.023727,Bucharest,WIND001,wind_speed,14.48,km/h,44.427,26.1015
2024-12-15T05:45:53.023727,Bucharest,TEMP001,temperature,18.23,C,44.4268,26.1025
2024-12-15T05:45:53.023727,Bucharest,TEMP002,temperature,18.31,C,44.429,26.104
2024-12-15T05:45:53.023727,Bucharest,TEMP003,temperature,18.52,C,44.4305,26.108
2024-12-15T05:45:53.023727,Bucharest,HUM001,humidity,84.22,%,44.4255,26.1
2024-12-15T05:45:53.023727,Bucharest,HUM002,humidity,80.06,%,44.431,26.105
2024-12-15T05:45:53.023727,Bucharest,HUM003,humidity,84.34,%,44.4325,26.109
2024-12-15T05:45:53.023727,Bucharest,AQI001,air_quality,55.49,AQI,44.428,26.1035
2024-12-15T05:45:53.023727,Bucharest,WIND001,wind_speed,12.94,km/h,44.427,26.1015
2024-12-15T06:45:53.023727,Bucharest,TEMP001,temperature,19.05,C,44.4268,26.1025
2024-12-15T06:45:53.023727,Bucharest,TEMP002,temperature,19.03,C,44.429,26.104
2024-12-15T06:45:53.023727,Bucharest,TEMP003,temperature,19.64,C,44.4305,26.108
2024-12-15T06:45:53.023727,Bucharest,HUM001,humidity,84.5,%,44.4255,26.1
2024-12-15T06:45:53.023727,Bucharest,HUM002,humidity,81.08,%,44.431,26.105
2024-12-15T06:45:53.023727,Bucharest,HUM003,humidity,83.3,%,44.4325,26.109
2024-12-15T06:45:53.023727,Bucharest,AQI001,air_quality,57.67,AQI,44.428,26.1035
